exporter,importer,tonnes,year,exp_ISO3,imp_ISO3
Germany,France,1192297.91,2008,DEU,FRA
Greece,France,130246.29,2008,GRC,FRA
India,France,1036275.12,2008,IND,FRA
Indonesia,France,207830.73,2008,IDN,FRA
Italy,France,843272.56,2008,ITA,FRA
Japan,France,2848189.27,2008,JPN,FRA
Mexico,France,433044.11,2008,MEX,FRA
Netherlands,France,258587.42,2008,NLD,FRA
Poland,France,289854.82,2008,POL,FRA
RoW Africa,France,542387.4,2008,RoW Africa,FRA
RoW America,France,572903.08,2008,RoW America,FRA
RoW Asia and Pacific,France,971622.91,2008,RoW Asia and Pacific,FRA
RoW EU27,France,495075.94,2008,RoW EU27,FRA
RoW Europe,France,722158.36,2008,RoW Europe,FRA
RoW Middle East,France,1369556.99,2008,RoW Middle East,FRA
Russia,France,826140.38,2008,RUS,FRA
Slovakia,France,118802.51,2008,SVK,FRA
South Korea,France,1497199.49,2008,KOR,FRA
Spain,France,529145.57,2008,ESP,FRA
Sweden,France,159554.47,2008,SWE,FRA
Taiwan,France,368103.08,2008,TWN,FRA
United Kingdom,France,327709.56,2008,GBR,FRA
United States,France,2234281.19,2008,USA,FRA
Australia,Germany,493023.13,2008,AUS,DEU
Austria,Germany,363663.68,2008,AUT,DEU
Belgium,Germany,787912.95,2008,BEL,DEU
Brazil,Germany,1086522.31,2008,BRA,DEU
Canada,Germany,870661.21,2008,CAN,DEU
China,Germany,31347766.14,2008,CHN,DEU
Czech Republic,Germany,380739.97,2008,CZE,DEU
Finland,Germany,196595.38,2008,FIN,DEU
France,Germany,1150968.84,2008,FRA,DEU
Germany,Germany,2716317.62,2008,DEU,DEU
Greece,Germany,296729.78,2008,GRC,DEU
India,Germany,2360863.28,2008,IND,DEU
Indonesia,Germany,473484.25,2008,IDN,DEU
Italy,Germany,1921160.89,2008,ITA,DEU
Japan,Germany,6488803.37,2008,JPN,DEU
Mexico,Germany,986569.98,2008,MEX,DEU
Netherlands,Germany,589119.17,2008,NLD,DEU
Poland,Germany,660353.21,2008,POL,DEU
RoW Africa,Germany,1235678.13,2008,RoW Africa,DEU
RoW America,Germany,1305199.58,2008,RoW America,DEU
RoW Asia and Pacific,Germany,2213571.29,2008,RoW Asia and Pacific,DEU
RoW EU27,Germany,1127892.19,2008,RoW EU27,DEU
RoW Europe,Germany,1645236.02,2008,RoW Europe,DEU
RoW Middle East,Germany,3120152.89,2008,RoW Middle East,DEU
Russia,Germany,1882130.01,2008,RUS,DEU
Slovakia,Germany,270658.32,2008,SVK,DEU
South Korea,Germany,3410950.66,2008,KOR,DEU
Spain,Germany,1205510.33,2008,ESP,DEU
Sweden,Germany,363500.28,2008,SWE,DEU
Taiwan,Germany,838620.01,2008,TWN,DEU
United Kingdom,Germany,746594.66,2008,GBR,DEU
United States,Germany,5090185.35,2008,USA,DEU
Australia,Greece,52076.11,2008,AUS,GRC
Austria,Greece,38412.38,2008,AUT,GRC
Belgium,Greece,83224.18,2008,BEL,GRC
Brazil,Greece,114765.12,2008,BRA,GRC
Canada,Greece,91964.55,2008,CAN,GRC
China,Greece,3311142.47,2008,CHN,GRC
Czech Republic,Greece,40216.08,2008,CZE,GRC
Finland,Greece,20765.6,2008,FIN,GRC
France,Greece,121572.36,2008,FRA,GRC
Germany,Greece,286914.05,2008,DEU,GRC
Greece,Greece,31342.41,2008,GRC,GRC
India,Greece,249368.8,2008,IND,GRC
Indonesia,Greece,50012.3,2008,IDN,GRC
Italy,Greece,202924.74,2008,ITA,GRC
Japan,Greece,685387.03,2008,JPN,GRC
Mexico,Greece,104207.55,2008,MEX,GRC
Netherlands,Greece,62226.36,2008,NLD,GRC
Poland,Greece,69750.54,2008,POL,GRC
RoW Africa,Greece,130519.87,2008,RoW Africa,GRC
RoW America,Greece,137863.15,2008,RoW America,GRC
RoW Asia and Pacific,Greece,233810.92,2008,RoW Asia and Pacific,GRC
RoW EU27,Greece,119134.86,2008,RoW EU27,GRC
RoW Europe,Greece,173779.87,2008,RoW Europe,GRC
RoW Middle East,Greece,329569.6,2008,RoW Middle East,GRC
Russia,Greece,198802.06,2008,RUS,GRC
Slovakia,Greece,28588.58,2008,SVK,GRC
South Korea,Greece,360285.44,2008,KOR,GRC
Spain,Greece,127333.36,2008,ESP,GRC
Sweden,Greece,38395.12,2008,SWE,GRC
Taiwan,Greece,88580.17,2008,TWN,GRC
United Kingdom,Greece,78859.89,2008,GBR,GRC
United States,Greece,537656.46,2008,USA,GRC
Australia,India,420543.53,2008,AUS,IND
Austria,India,310201.28,2008,AUT,IND
Belgium,India,672081.43,2008,BEL,IND
Brazil,India,926792.07,2008,BRA,IND
Canada,India,742664.83,2008,CAN,IND
China,India,26739313.74,2008,CHN,IND
Czech Republic,India,324767.17,2008,CZE,IND
Finland,India,167693.78,2008,FIN,IND
France,India,981764.27,2008,FRA,IND
Germany,India,2316990.27,2008,DEU,IND
Greece,India,253107.37,2008,GRC,IND
India,India,2013791.47,2008,IND,IND
Indonesia,India,403877.07,2008,IDN,IND
Italy,India,1638729.97,2008,ITA,IND
Japan,India,5534880.81,2008,JPN,IND
Mexico,India,841533.79,2008,MEX,IND
Netherlands,India,502512.44,2008,NLD,IND
Poland,India,563274.32,2008,POL,IND
RoW Africa,India,1054020.41,2008,RoW Africa,IND
RoW America,India,1113321.47,2008,RoW America,IND
RoW Asia and Pacific,India,1888152.96,2008,RoW Asia and Pacific,IND
RoW EU27,India,962080.14,2008,RoW EU27,IND
RoW Europe,India,1403368.96,2008,RoW Europe,IND
RoW Middle East,India,2661457.49,2008,RoW Middle East,IND
Russia,India,1605437.04,2008,RUS,IND
Slovakia,India,230868.69,2008,SVK,IND
South Korea,India,2909504.92,2008,KOR,IND
Spain,India,1028287.59,2008,ESP,IND
Sweden,India,310061.91,2008,SWE,IND
Taiwan,India,715334.02,2008,TWN,IND
United Kingdom,India,636837.36,2008,GBR,IND
United States,India,4341874.39,2008,USA,IND
Australia,Indonesia,86654.7,2008,AUS,IDN
Austria,Indonesia,63918.24,2008,AUT,IDN
Belgium,Indonesia,138485.11,2008,BEL,IDN
Brazil,Indonesia,190969.28,2008,BRA,IDN
Canada,Indonesia,153029.11,2008,CAN,IDN
China,Indonesia,5509744.36,2008,CHN,IDN
Czech Republic,Indonesia,66919.6,2008,CZE,IDN
Finland,Indonesia,34553.99,2008,FIN,IDN
France,Indonesia,202296.52,2008,FRA,IDN
Germany,Indonesia,477425.27,2008,DEU,IDN
Greece,Indonesia,52153.8,2008,GRC,IDN
India,Indonesia,414949.92,2008,IND,IDN
Indonesia,Indonesia,83220.51,2008,IDN,IDN
Italy,Indonesia,337666.98,2008,ITA,IDN
Japan,Indonesia,1140484.7,2008,JPN,IDN
Mexico,Indonesia,173401.46,2008,MEX,IDN
Netherlands,Indonesia,103544.73,2008,NLD,IDN
Poland,Indonesia,116064.96,2008,POL,IDN
RoW Africa,Indonesia,217185.19,2008,RoW Africa,IDN
RoW America,Indonesia,229404.42,2008,RoW America,IDN
RoW Asia and Pacific,Indonesia,389061.6,2008,RoW Asia and Pacific,IDN
RoW EU27,Indonesia,198240.53,2008,RoW EU27,IDN
RoW Europe,Indonesia,289169.88,2008,RoW Europe,IDN
RoW Middle East,Indonesia,548404.14,2008,RoW Middle East,IDN
Russia,Indonesia,330806.83,2008,RUS,IDN
Slovakia,Indonesia,47571.43,2008,SVK,IDN
South Korea,Indonesia,599515.32,2008,KOR,IDN
Spain,Indonesia,211882.84,2008,ESP,IDN
Sweden,Indonesia,63889.52,2008,SWE,IDN
Taiwan,Indonesia,147397.48,2008,TWN,IDN
United Kingdom,Indonesia,131222.93,2008,GBR,IDN
United States,Indonesia,894660.88,2008,USA,IDN
Australia,Italy,338022.55,2008,AUS,ITA
Austria,Italy,249332.16,2008,AUT,ITA
Belgium,Italy,540202.53,2008,BEL,ITA
Brazil,Italy,744932.68,2008,BRA,ITA
Canada,Italy,596935.73,2008,CAN,ITA
China,Italy,21492403.18,2008,CHN,ITA
Czech Republic,Italy,261039.87,2008,CZE,ITA
Finland,Italy,134788.14,2008,FIN,ITA
France,Italy,789117.99,2008,FRA,ITA
Germany,Italy,1862339.83,2008,DEU,ITA
Greece,Italy,203441.48,2008,GRC,ITA
India,Italy,1618636.09,2008,IND,ITA
Indonesia,Italy,324626.46,2008,IDN,ITA
Italy,Italy,1317170.87,2008,ITA,ITA
Japan,Italy,4448801.15,2008,JPN,ITA
Mexico,Italy,676404.17,2008,MEX,ITA
Netherlands,Italy,403907.15,2008,NLD,ITA
Poland,Italy,452746.05,2008,POL,ITA
RoW Africa,Italy,847195.7,2008,RoW Africa,ITA
RoW America,Italy,894860.43,2008,RoW America,ITA
RoW Asia and Pacific,Italy,1517650.94,2008,RoW Asia and Pacific,ITA
RoW EU27,Italy,773296.37,2008,RoW EU27,ITA
RoW Europe,Italy,1127993.48,2008,RoW Europe,ITA
RoW Middle East,Italy,2139214.12,2008,RoW Middle East,ITA
Russia,Italy,1290410.83,2008,RUS,ITA
Slovakia,Italy,185566.58,2008,SVK,ITA
South Korea,Italy,2338588.55,2008,KOR,ITA
Spain,Italy,826512.29,2008,ESP,ITA
Sweden,Italy,249220.14,2008,SWE,ITA
Taiwan,Italy,574967.91,2008,TWN,ITA
United Kingdom,Italy,511874.22,2008,GBR,ITA
United States,Italy,3489891.92,2008,USA,ITA
Australia,Japan,1132344.63,2008,AUS,JPN
Austria,Japan,835239.94,2008,AUT,JPN
Belgium,Japan,1809629.07,2008,BEL,JPN
Brazil,Japan,2495456.34,2008,BRA,JPN
Canada,Japan,1999680.1,2008,CAN,JPN
China,Japan,71997584.28,2008,CHN,JPN
Czech Republic,Japan,874459.69,2008,CZE,JPN
Finland,Japan,451527.95,2008,FIN,JPN
France,Japan,2643473.08,2008,FRA,JPN
Germany,Japan,6238668.04,2008,DEU,JPN
Greece,Japan,681510.35,2008,GRC,JPN
India,Japan,5422282.8,2008,IND,JPN
Indonesia,Japan,1087468.96,2008,IDN,JPN
Italy,Japan,4412401.92,2008,ITA,JPN
Japan,Japan,14903076.84,2008,JPN,JPN
Mexico,Japan,2265892.1,2008,MEX,JPN
Netherlands,Japan,1353051.99,2008,NLD,JPN
Poland,Japan,1516657.86,2008,POL,JPN
RoW Africa,Japan,2838028.08,2008,RoW Africa,JPN
RoW America,Japan,2997700.58,2008,RoW America,JPN
RoW Asia and Pacific,Japan,5083991.79,2008,RoW Asia and Pacific,JPN
RoW EU27,Japan,2590472.08,2008,RoW EU27,JPN
RoW Europe,Japan,3778674.96,2008,RoW Europe,JPN
RoW Middle East,Japan,7166171.58,2008,RoW Middle East,JPN
Russia,Japan,4322758.23,2008,RUS,JPN
Slovakia,Japan,621631.07,2008,SVK,JPN
South Korea,Japan,7834057.67,2008,KOR,JPN
Spain,Japan,2768740.55,2008,ESP,JPN
Sweden,Japan,834864.66,2008,SWE,JPN
Taiwan,Japan,1926089.88,2008,TWN,JPN
United Kingdom,Japan,1714731.81,2008,GBR,JPN
United States,Japan,11690818.64,2008,USA,JPN
Australia,Mexico,179131.46,2008,AUS,MEX
Austria,Mexico,132130.93,2008,AUT,MEX
Belgium,Mexico,286274.59,2008,BEL,MEX
Brazil,Mexico,394769.16,2008,BRA,MEX
Canada,Mexico,316339.75,2008,CAN,MEX
China,Mexico,11389670.76,2008,CHN,MEX
Czech Republic,Mexico,138335.31,2008,CZE,MEX
Finland,Mexico,71429.54,2008,FIN,MEX
France,Mexico,418184.7,2008,FRA,MEX
Germany,Mexico,986927.21,2008,DEU,MEX
Greece,Mexico,107811.65,2008,GRC,MEX
India,Mexico,857779.0,2008,IND,MEX
Indonesia,Mexico,172032.35,2008,IDN,MEX
Italy,Mexico,698020.71,2008,ITA,MEX
Japan,Mexico,2357594.91,2008,JPN,MEX
Mexico,Mexico,358453.21,2008,MEX,MEX
Netherlands,Mexico,214046.3,2008,NLD,MEX
Poland,Mexico,239927.96,2008,POL,MEX
RoW Africa,Mexico,448962.36,2008,RoW Africa,MEX
RoW America,Mexico,474221.78,2008,RoW America,MEX
RoW Asia and Pacific,Mexico,804262.99,2008,RoW Asia and Pacific,MEX
RoW EU27,Mexico,409800.2,2008,RoW EU27,MEX
RoW Europe,Mexico,597768.16,2008,RoW Europe,MEX
RoW Middle East,Mexico,1133653.8,2008,RoW Middle East,MEX
Russia,Mexico,683839.51,2008,RUS,MEX
Slovakia,Mexico,98339.04,2008,SVK,MEX
South Korea,Mexico,1239310.16,2008,KOR,MEX
Spain,Mexico,438001.41,2008,ESP,MEX
Sweden,Mexico,132071.57,2008,SWE,MEX
Taiwan,Mexico,304698.13,2008,TWN,MEX
United Kingdom,Mexico,271262.31,2008,GBR,MEX
United States,Mexico,1849431.15,2008,USA,MEX
Australia,Netherlands,101564.14,2008,AUS,NLD
Austria,Netherlands,74915.73,2008,AUT,NLD
Belgium,Netherlands,162312.27,2008,BEL,NLD
Brazil,Netherlands,223826.63,2008,BRA,NLD
Canada,Netherlands,179358.64,2008,CAN,NLD
China,Netherlands,6457727.3,2008,CHN,NLD
Czech Republic,Netherlands,78433.5,2008,CZE,NLD
Finland,Netherlands,40499.2,2008,FIN,NLD
France,Netherlands,237102.79,2008,FRA,NLD
Germany,Netherlands,559569.01,2008,DEU,NLD
Greece,Netherlands,61127.16,2008,GRC,NLD
India,Netherlands,486344.42,2008,IND,NLD
Indonesia,Netherlands,97539.08,2008,IDN,NLD
Italy,Netherlands,395764.51,2008,ITA,NLD
Japan,Netherlands,1336711.6,2008,JPN,NLD
Mexico,Netherlands,203236.17,2008,MEX,NLD
Netherlands,Netherlands,121360.19,2008,NLD,NLD
Poland,Netherlands,136034.6,2008,POL,NLD
RoW Africa,Netherlands,254553.14,2008,RoW Africa,NLD
RoW America,Netherlands,268874.76,2008,RoW America,NLD
